楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
2技,2018 斥,80.9841,78.00178,83.96452,0.00015,0.00014,0.00015,99699.20721,99668.30095,99731.93006,99691.80318,99661.21863,99724.20419,8074050.709,7774304.483,8373944.05,14.80806,14.16466,15.45174
3技,1970 斥,62.49194,58.80215,66.17841,0.00273,0.0028,0.00266,95051.95188,95013.62286,95099.01603,94922.01831,94880.39017,94972.36964,5939980.866,5587005.617,6293502.051,259.86714,266.46539,253.29277
3技,1971 斥,62.84529,59.06357,66.62369,0.00263,0.00271,0.00256,95179.60146,95141.99765,95225.51019,95054.21884,95013.27099,95103.46065,5981589.646,5619426.169,6344275.117,250.76525,257.45332,244.09907
3技,1972 斥,63.18668,59.31787,67.05218,0.00254,0.00261,0.00247,95304.02491,95267.12489,95348.81639,95183.0549,95142.77073,95231.22052,6021945.236,5651043.09,6393346.096,241.94001,248.70832,235.19173
3技,1973 斥,63.51664,59.56523,67.46473,0.00245,0.00252,0.00237,95425.30293,95389.08587,95469.01419,95308.61037,95268.97373,95355.73203,6061094.189,5681872.972,6440791.5,233.38513,240.22428,226.56431
3技,1974 斥,63.8357,59.80594,67.86216,0.00236,0.00243,0.00228,95543.51419,95507.95986,95586.18106,95430.96698,95391.96226,95477.07587,6099086.988,5711943.383,6486684.727,225.09441,231.99519,218.21038
3技,1975 斥,64.1444,60.04028,68.24524,0.00227,0.00234,0.0022,95658.73533,95623.82408,95700.39253,95550.20451,95511.81656,95595.33076,6135972.428,5741281.567,6531096.117,217.06163,224.01502,210.12354
3技,1976 斥,64.44319,60.26842,68.6147,0.00219,0.00226,0.00211,95771.04104,95736.75384,95811.72213,95666.40071,95628.6149,95710.57342,6171791.744,5769902.644,6574093.015,209.28066,216.27788,202.29742
3技,1977 斥,64.73253,60.49055,68.97126,0.0021,0.00218,0.00203,95880.50413,95846.82254,95920.24156,95779.63143,95742.4336,95822.87873,6206587.241,5797826.79,6615739.844,201.7454,208.77788,194.72567
3技,1978 斥,65.01283,60.70687,69.31557,0.00203,0.0021,0.00195,95987.19554,95954.10174,96026.02063,95889.97063,95853.34713,95932.31962,6240399.5,5825073.576,6656098.192,194.44982,201.50922,187.40202
